strava,google
305.5,313.98342895508
305.5,313.98342895508
305.5,313.98342895508
305.4,313.97644042969
304.9,313.85760498047
304.7,313.77383422852
304.4,313.68521118164
304.4,313.68521118164
304.1,313.55853271484
303.9,313.43045043945
303.5,312.92965698242
303.2,312.66876220703
302.5,312.52227783203
301.9,312.20574951172
301.9,312.88818359375
302.4,313.5065612793
304,314.42971801758
305.2,315.40417480469
305.5,315.87326049805
305.5,315.87326049805
305.9,316.560546875
306.2,316.87426757812
306.3,316.98297119141
307.4,317.83032226562
307.6,317.97729492188
307.8,318.0989074707
308.1,318.17013549805
308.4,318.22485351562
308.4,318.22485351562
309.6,318.96920776367
309.5,318.91583251953
309.5,318.91583251953
308.7,316.59915161133
307.1,315.27508544922
305.6,313.39846801758
303.9,310.61807250977
302,306.27554321289
302,302.94076538086
302,301.54016113281
299.8,299.24258422852
297,297.02114868164
294,294.81204223633
293.8,294.71157836914
290,290.51968383789
290.5,289.79125976562
290.2,291.42065429688
289.7,292.90298461914
289.5,292.58874511719
289.2,291.39428710938
288.7,291.55126953125
287.2,291.37692260742
286.1,291.45260620117
285.4,291.38833618164
285,291.98937988281
285,291.90115356445
285,292.01763916016
286.7,291.49548339844
292,291.15545654297
292,289.11196899414
293.1,290.06536865234
295.1,290.47991943359
295.6,292.20193481445
293.7,289.56121826172
293.3,288.59027099609
293,289.62854003906
293,290.46078491211
293.3,292.28463745117
293.7,294.94064331055
294.3,295.55569458008
294.6,294.83700561523
295,294.79348754883
300.2,296.51422119141
303.7,296.69323730469
303.8,297.98611450195
305,301.11676025391
306.1,303.21249389648
308.4,303.91775512695
309.5,304.49801635742
310.2,304.8952331543
310.8,304.71087646484
311,303.07406616211
308.8,302.03887939453
308,303.12493896484
307.6,302.84921264648
307.5,303.15148925781
306.9,302.07205200195
306.1,299.64401245117
306.3,298.42880249023
308.9,298.96011352539
312,300.82888793945
315.1,302.66464233398
318.1,305.8125
321.1,307.59286499023
323.9,309.0126953125
325.7,309.92074584961
327.8,310.7766418457
328,311.03811645508
327.6,312.56625366211
327.2,312.76718139648
327,313.4831237793
326.9,314.42166137695
326.5,316.37475585938
326.1,318.3235168457
325.9,319.90618896484
325.8,321.32803344727
325.7,322.72018432617
325.6,324.52096557617
325.5,326.17361450195
325.5,327.12426757812
325.4,328.37084960938
325.2,329.64990234375
325.2,330.84832763672
325.2,332.66683959961
325.2,333.24926757812
325.2,333.27749633789
325.1,334.02297973633
327.1,334.51043701172
333.1,334.42572021484
336.4,334.37149047852
337.3,334.44378662109
340.2,334.16046142578
342.7,333.54476928711
343.8,333.68377685547
343.6,333.43109130859
343.3,333.76470947266
343,333.64965820312
342.7,333.42691040039
342.4,332.93826293945
341.9,332.88037109375
341.2,332.79452514648
339.4,332.83129882812
337.3,332.04895019531
336.6,332.03402709961
336.2,331.65551757812
335.6,331.99520874023
335,331.62979125977
334.3,331.88565063477
333.5,331.52575683594
333,331.10113525391
332.1,329.19253540039
330.7,329.19671630859
328.2,329.67330932617
326.3,331.87091064453
325.3,332.59024047852
324.5,333.80523681641
324,332.11184692383
323.4,330.82553100586
322.8,330.27322387695
322.6,334.15979003906
322.3,337.73132324219
322.1,338.24157714844
322.3,334.43637084961
322.6,333.62771606445
322.7,334.31747436523
322.7,334.71078491211
322.7,333.58215332031
322.9,335.05920410156
323,334.86849975586
323,333.81457519531
323.1,332.25704956055
323.6,328.92965698242
324,327.28109741211
